EstacaoCodigo;NivelConsistencia;Data;Hora;MediaDiaria;MetodoObtencaoVazoes;Maxima;Minima;Media;DiaMaxima;DiaMinima;MaximaStatus;MinimaStatus;MediaStatus;MediaAnual;MediaAnualStatus;Vazao01;Vazao02;Vazao03;Vazao04;Vazao05;Vazao06;Vazao07;Vazao08;Vazao09;Vazao10;Vazao11;Vazao12;Vazao13;Vazao14;Vazao15;Vazao16;Vazao17;Vazao18;Vazao19;Vazao20;Vazao21;Vazao22;Vazao23;Vazao24;Vazao25;Vazao26;Vazao27;Vazao28;Vazao29;Vazao30;Vazao31;Vazao01Status;Vazao02Status;Vazao03Status;Vazao04Status;Vazao05Status;Vazao06Status;Vazao07Status;Vazao08Status;Vazao09Status;Vazao10Status;Vazao11Status;Vazao12Status;Vazao13Status;Vazao14Status;Vazao15Status;Vazao16Status;Vazao17Status;Vazao18Status;Vazao19Status;Vazao20Status;Vazao21Status;Vazao22Status;Vazao23Status;Vazao24Status;Vazao25Status;Vazao26Status;Vazao27Status;Vazao28Status;Vazao29Status;Vazao30Status;Vazao31Status
58183000;1;01/06/2018;;1;1;168,113;110,29;152,377;20;1;1;1;1;;0;110,29;139,436;149,888;161,123;160,133;154,734;153,274;161,123;161,618;156,689;158,654;162,114;162,114;154,247;159,146;161,123;165,103;167,61;163,606;168,113;163,606;161,123;159,639;138,968;138,034;132,019;125,658;135,708;140,374;146,054;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
58183000;1;01/05/2018;;1;1;100,617;45,903;65,687;29;10;1;1;1;;0;50,711;54,085;60,629;59,404;54,661;54,085;56,411;50,162;50,711;45,903;48,003;54,661;48,537;52,946;57,596;50,711;45,903;50,711;50,711;50,711;63,125;73,055;83,157;86,195;90,88;96,518;99,792;98,969;100,617;100,204;96,518;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
58183000;1;01/04/2018;;1;1;93,281;46,945;63,473;3;30;1;1;1;;0;83,91;78,727;93,281;83,157;70,996;73,75;74,449;63,759;60,629;56,411;59,404;63,125;68,974;65,039;64,397;70,996;66,334;60,629;62,495;51,821;50,711;49,075;54,085;57,596;53,514;54,661;57,596;57,002;50,711;46,945;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
58183000;1;01/03/2018;;1;1;146,054;80,923;112,676;22;26;1;1;1;;0;99,38;101,859;116,345;130,189;138,034;137,102;132,478;122,078;115,908;102,69;96,925;104,781;88,518;103,107;138,968;136,172;124,759;101,859;93,281;90,089;115,908;146,054;145,577;132,938;90,089;80,923;99,38;108,158;101,859;96,925;100,617;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
58183000;1;01/02/2018;;1;1;168,617;70,996;98,024;1;24;1;1;1;;0;168,617;106,887;98,969;95,301;97,741;98,559;100,204;95,301;83,157;76,569;73,055;97,741;101,444;104,361;106,042;106,042;99,38;94,493;101,859;96,925;101,03;98,969;78,727;70,996;91,676;102,274;97,332;101,03;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;
58183000;1;01/01/2018;;1;1;299,165;113,302;161,659;9;28;1;1;1;;0;140,374;132,478;127,011;128,369;127,916;141,786;204,209;245,273;299,165;291,038;241,79;176,242;164,105;146,531;141,315;163,606;139,905;128,824;197,203;128,824;132,478;127,916;130,646;130,189;123,863;117,658;118,097;113,302;132,019;192,938;226,352;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
58183000;1;01/12/2017;;1;1;156,689;64,397;109,076;27;14;1;1;1;;0;114,602;109,009;105,201;99,38;96,518;92,477;87,739;83,157;71,679;69,644;74,449;72,365;65,685;64,397;86,965;96,925;103,107;119,419;126,108;122,078;118,537;125,658;133,398;137,102;136,637;144,151;156,689;151,819;139,436;140,374;136,637;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
58183000;1;01/11/2017;;1;1;206,384;101,859;157,263;23;30;1;1;1;;0;191,878;182,955;180,879;179,844;176,755;172,667;165,604;160,133;154,734;154,734;155,222;154,734;141,786;137,102;126,559;127,916;124,759;129,278;148,926;172,667;174,706;183,475;206,384;191,878;171,144;162,611;141,786;138,034;106,887;101,859;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
58183000;1;01/10/2017;;1;1;214,065;144,626;180,143;28;1;1;1;1;;0;144,626;165,604;176,242;179,328;178,297;175,218;175,218;177,268;176,755;175,73;181,397;181,397;180,879;178,297;174,706;173,686;177,782;175,73;171,651;170,638;171,144;176,242;176,242;178,297;181,397;182,955;200,425;214,065;208,567;204,752;199,887;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
58183000;1;01/09/2017;;1;1;158,162;137,568;141,449;30;14;1;1;1;;0;147,966;148,445;144,151;144,151;144,151;142,73;144,626;142,73;142,73;141,315;140,374;140,374;140,374;137,568;137,568;138,034;138,968;138,034;138,034;138,968;139,436;138,034;138,034;138,501;139,436;139,436;138,034;138,968;144,151;158,162;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
58183000;1;01/08/2017;;1;1;164,604;132,019;143,438;21;9;1;1;1;;0;134,782;133,859;134,32;134,32;133,859;134,782;134,32;132,938;132,019;134,782;136,637;134,32;134,32;133,398;134,32;135,708;144,151;144,626;154,247;160,628;164,604;162,611;159,639;156,199;153,274;152,303;151,335;149,888;149,406;148,445;146,531;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
58183000;1;01/07/2017;;1;1;179,844;113,735;144,074;17;10;1;1;1;;0;154,734;146,531;136,637;129,278;126,108;125,208;126,559;122,078;119,86;113,735;119,419;146,531;164,604;167,61;168,113;170,132;179,844;177,268;173,686;171,144;169,626;155,222;147,009;137,102;134,32;133,859;129,734;129,278;127,463;129,278;134,32;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
58183000;1;01/06/2017;;1;1;145,101;73,75;107,68;30;5;1;1;1;;0;83,157;83,91;88,518;79,455;73,75;85,429;97,741;106,042;102,69;99,38;96,925;91,676;95,301;98,969;99,38;100,204;101,859;106,042;114,602;118,537;119,86;117,658;126,559;132,938;134,32;132,019;131,103;130,646;136,637;145,101;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
